sku,product_name,category,current_stock,reorder_threshold,lead_time_days,supplier
BW-1001,Craft Lager 12pk Cans,Beer,420,300,7,Northwind Brewing Co.
BW-1002,Craft Lager 24pk Cans,Beer,180,250,7,Northwind Brewing Co.
BW-1010,Hazy IPA 6pk Bottles,Beer,95,150,10,Coastal Hop Supply
WN-2001,Cabernet Sauvignon 750ml,Wine,610,400,21,Valley Ridge Vineyards
WN-2002,Pinot Grigio 750ml,Wine,140,200,21,Valley Ridge Vineyards
WN-2015,Sparkling Rose 750ml,Wine,75,120,28,Coastal Cellars Import
RTD-3001,Hard Seltzer Variety 12pk,RTD,890,600,5,Summit Beverage Partners
RTD-3002,Hard Lemonade 6pk,RTD,60,150,5,Summit Beverage Partners
RTD-3010,Vodka Soda 4pk Cans,RTD,310,250,7,Northshore Canning Ltd.
SP-4001,Premium Vodka 750ml,Spirits,220,180,14,Highland Distillers
SP-4002,Aged Rum 750ml,Spirits,45,100,14,Highland Distillers
SP-4010,Blended Whisky 1L,Spirits,150,120,18,Caledon Spirits Co.
NA-5001,Non-Alcoholic Lager 6pk,Non-Alcoholic,500,300,7,Northwind Brewing Co.
NA-5002,Sparkling Water Variety 12pk,Non-Alcoholic,30,150,4,Pure Source Beverages
PKG-6001,Cardboard Case Boxes (12pk),Packaging,2200,1500,10,EcoPack Solutions
PKG-6002,Glass Bottles 750ml (case),Packaging,860,1000,15,Vitro Glassworks
PKG-6003,Aluminum Cans 355ml (case),Packaging,410,800,12,MetalForm Packaging
ING-7001,Hop Pellets - Cascade (kg),Ingredients,55,80,20,Pacific Hop Growers
ING-7002,Barley Malt - Pale (kg),Ingredients,1900,1200,25,Prairie Grain Co.
ING-7003,Yeast Strain - Ale (units),Ingredients,18,40,10,BioFerm Cultures
